Date,1N Endwall,1S Endwall,Blast ID
23/01/2020 12:38,0.54,0.56,6N20H16_P2
25/01/2020 11:32,2.58,1.52,2S35P08_P3
31/01/2020 16:00,0.54,0.43,2N36D11_CL1
4/02/2020 12:23,0.76,0.53,5N35H15_P1
7/02/2020 13:46,6.12,3.4,1S38Q01_P2
7/02/2020 13:46,6.12,3.4,2S34H15_O3
14/02/2020 14:16,1.37,1.92,4S33H15_O2
17/02/2020 16:00,NA,NA,7N21H15_CL1
1/03/2020 12:04,26.64,10.87,1S37H16_P4
3/03/2020 14:26,16.16,2.61,1N38H15_PS1
4/03/2020 11:15,1.17,0.56,5N35H13_P2
17/03/2020 14:07,1.55,1.56,2N39H13_CL1
17/03/2020 14:07,1.55,1.56,3N41D11_PS1
17/03/2020 14:07,1.55,1.56,2N38D46_O2
23/07/2020 13:51,NA,0.63,2N40P08_P1
25/03/2020 13:15,NA,NA,5N34H15_P3
31/03/2020 15:26,57.1,10.83,1N38H15_P1
4/04/2020 11:45,2.06,1.84,3N41D11_C1
6/04/2020 12:45,0.44,0.43,2N40P08_P2
12/04/2020 15:05,47.54,19.66,1S38Q01_P1
15/04/2020 14:58,0.3,0.27,6N20H16_P3
18/04/2020 12:00,NA,NA,11S25PSS_T1
20/04/2020 11:55,0.81,0.78,2N40P08_P3
22/04/2020 13:55,NA,NA,7N22H16_CL1
24/04/2020 11:05,5.41,9.9,1S37H15_P1
26/04/2020 15:01,0.66,1.1,4S33H15_O3
27/04/2020 10:51,0.36,0.34,7N23P08_P1
30/04/2020 11:56,1.53,1.5,2N37D11_PS1
4/05/2020 13:56,0.82,0.38,2N38D46_O3
2/05/2020 14:58,5.91,8.67,1S37H16_CL2
9/05/2020 11:56,0.22,0.25,6N20H16_P4
9/05/2020 11:56,0.22,0.25,5N36H16_P1
10/05/2020 12:01,1.8,1.77,2N37D11_C1
13/05/2020 16:17,5.11,2.56,2S33D13_PA1
14/05/2020 16:33,13.59,12.21,1S37H16_CL3
17/05/2020 13:09,4.78,1.96,1N38H15_P2
19/05/2020 15:27,NA,NA,1S35H15_T1
25/05/2020 16:00,1.09,0.82,2S33D13_PA2
30/05/2020 16:04,3.51,2.31,1N38H15_CL1
30/05/2020 16:04,15.24,3.51,2S35H16_P1
31/05/2020 14:10,NA,NA,7N21D46_PS1
4/06/2020 16:00,NA,NA,6N16D11_CL1
4/06/2020 16:00,NA,NA,6N18D46_PS2
7/06/2020 14:00,4.21,15.79,1S37H15_O1
11/06/2020 15:00,0.57,0.77,4S33D46_C1
18/06/2020 13:47,5.14,7.21,1S38P08_P1
20/06/2020 15:55,NA,NA,4S33H15_CL1
21/06/2020 12:50,0.77,0.51,3N41H13_P5
22/06/2020 11:40,8.08,2.39,1N38H15_P3
29/06/2020 11:48,0.43,0.41,7N21D46_O1
29/06/2020 11:48,0.43,0.41,7N22H15_P1
2/07/2020 11:27,0.51,0.46,2N40P08_T1
3/07/2020 13:40,NA,NA,6N16D11_CL2
4/07/2020 13:35,6.93,2.48,2S35H16_P2
4/07/2020 13:35,6.93,2.48,1N38H15_CL2
7/07/2020 13:00,NA,NA,11S25PSS_P2
9/07/2020 14:05,NA,NA,6N20H16_CL1
13/07/2020 14:20,7.22,2.02,1N41Q01_P1
16/07/2020 14:35,0.24,0.24,6N20H16_CL2
